MappedIndustry,Mean Takerate,Median Takerate
A,3.451098901098903,3.45
B,4.592972972972973,4.77
C,4.294397905759161,4.42
D,3.9639130434782603,3.79
E,4.366373056994817,4.47
F,4.6453846153846134,5.05
G,4.3998170731707305,4.4
H,4.323443708609274,4.33
I,4.376754966887416,4.39
J,4.585856353591162,4.62
K,4.616571428571429,5.01
L,3.8159821428571425,3.7199999999999998
M,4.6974251497005985,5.08
N,4.405426829268294,4.385
O,4.398521126760562,4.324999999999999
P,4.655164835164833,4.945
Q,3.9474399999999976,4.04
R,4.083023255813953,4.09
S,3.993582089552239,4.1850000000000005
T,4.730494505494507,4.9399999999999995
U,4.403666666666666,4.66
V,4.582058823529409,4.859999999999999
W,4.64640522875817,4.92
X,4.482977528089893,4.625
Y,4.457529411764704,4.609999999999999
